T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
24,Angola,2024,Major trading partner 1 (% of exports),China,,46.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2015,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2020,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2024,Major trading partner 1 (% of imports),China,,15.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2015,Major trading partner 2 (% of exports),Spain,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2020,Major trading partner 2 (% of exports),Spain,,3.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2024,Major trading partner 2 (% of exports),Spain,,7.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2015,Major trading partner 2 (% of imports),Portugal,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2020,Major trading partner 2 (% of imports),Portugal,,13.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2024,Major trading partner 2 (% of imports),Portugal,,10.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2015,Major trading partner 3 (% of exports),Netherlands,,3.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2020,Major trading partner 3 (% of exports),Netherlands,,1.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2024,Major trading partner 3 (% of exports),Netherlands,,6.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2015,Major trading partner 3 (% of imports),United Arab Emirates,,2.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2020,Major trading partner 3 (% of imports),United Arab Emirates,,2.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2024,Major trading partner 3 (% of imports),United Arab Emirates,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2015,Major trading partner 1 (% of exports),Chile,,1.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2020,Major trading partner 1 (% of exports),Chile,,73.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2024,Major trading partner 1 (% of exports),Chile,,58.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2015,Major trading partner 1 (% of imports),Chile,,0.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2020,Major trading partner 1 (% of imports),Chile,,54.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2024,Major trading partner 1 (% of imports),Chile,,51.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2015,Major trading partner 2 (% of exports),Tajikistan,,0.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2020,Major trading partner 2 (% of exports),Tajikistan,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2024,Major trading partner 2 (% of exports),Tajikistan,,13.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2015,Major trading partner 2 (% of imports),United States,,60.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2020,Major trading partner 2 (% of imports),United States,,31.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2024,Major trading partner 2 (% of imports),United States,,29.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2024,Major trading partner 3 (% of exports),Paraguay,,5.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
660,Anguilla,2024,Major trading partner 3 (% of imports),Botswana,,8.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of exports),United States,,30.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2020,Major trading partner 1 (% of exports),United States,,11.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2024,Major trading partner 1 (% of exports),United States,,19.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2020,Major trading partner 1 (% of imports),United States,,52.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2024,Major trading partner 1 (% of imports),United States,,54.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2020,Major trading partner 2 (% of exports),Sint Maarten,,10.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2024,Major trading partner 2 (% of exports),Sint Maarten,,10.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of imports),China,,5.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2020,Major trading partner 2 (% of imports),China,,7.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2024,Major trading partner 2 (% of imports),China,,5.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of exports),China,,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2024,Major trading partner 3 (% of exports),China,,9.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Trinidad and Tobago,,3.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2020,Major trading partner 3 (% of imports),Trinidad and Tobago,,4.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
28,Antigua and Barbuda,2024,Major trading partner 3 (% of imports),Trinidad and Tobago,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2015,Major trading partner 1 (% of exports),Brazil,,17.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2020,Major trading partner 1 (% of exports),Brazil,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2024,Major trading partner 1 (% of exports),Brazil,,17.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2015,Major trading partner 1 (% of imports),Brazil,,21.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2020,Major trading partner 1 (% of imports),Brazil,,20.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2024,Major trading partner 1 (% of imports),Brazil,,23.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2015,Major trading partner 2 (% of exports),United States,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2020,Major trading partner 2 (% of exports),United States,,6.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2024,Major trading partner 2 (% of exports),United States,,8.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2015,Major trading partner 2 (% of imports),China,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2020,Major trading partner 2 (% of imports),China,,20.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2024,Major trading partner 2 (% of imports),China,,19.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2015,Major trading partner 3 (% of exports),Chile,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2020,Major trading partner 3 (% of exports),Chile,,5.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2024,Major trading partner 3 (% of exports),Chile,,8.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2015,Major trading partner 3 (% of imports),United States,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2020,Major trading partner 3 (% of imports),United States,,10.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
32,Argentina,2024,Major trading partner 3 (% of imports),United States,,10.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2015,Major trading partner 1 (% of exports),United Arab Emirates,,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2020,Major trading partner 1 (% of exports),United Arab Emirates,,3.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2024,Major trading partner 1 (% of exports),United Arab Emirates,,40.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,,30.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2020,Major trading partner 1 (% of imports),Russian Federation,,33.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2024,Major trading partner 1 (% of imports),Russian Federation,,55.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
